"","name","years","region","Inf Death","Mat Death"
"178","Trinidad and Tobago",76.5,"Central America and the Caribbean",14.7,54
"179","Tunisia",77.3,"Africa",10.6,36
"180","Turkey (Turkiye)",76.7,"Middle East",17.9,15
"181","Turkmenistan",72.4,"Central Asia",35,5
"182","Tuvalu",69,"Australia and Oceania",27.2,170
"183","Uganda",69.7,"Africa",27.5,170
"184","Ukraine",70.5,"Europe",8.4,15
"185","United Arab Emirates",79.9,"Middle East",4.9,3
"186","United Kingdom",82.2,"Europe",3.7,8
"187","United States",80.9,"North America",5,17
"188","Uruguay",78.9,"South America",6.9,15
"189","Uzbekistan",76.2,"Central Asia",17.6,26
"190","Vanuatu",75.7,"Australia and Oceania",13.4,100
"191","Venezuela",74.5,"South America",13.6,227
"192","Vietnam",76.1,"East and Southeast Asia",13.8,48
"193","West Bank",76.5,"Middle East",14.2,16
"194","Yemen",68.2,"Middle East",42.4,118
"195","Zambia",66.9,"Africa",30.1,85
"196","Zimbabwe",67.2,"Africa",32.8,358
